lng,lat,pippo
7.654008,45.052334,8725
7.654743,45.054695,788
7.656008,45.054028,3730
7.65401,45.053478,683
7.655988,45.054157,778
7.654679,45.053844,68
7.654199,45.053097,783
7.656633,45.053375,154
7.655378,45.053009,958
7.654773,45.054283,9968
7.655332,45.054047,14155
7.656875,45.055298,12251
7.654115,45.055382,159
7.656998,45.057102,7180
7.656018,45.05661,2433
7.654864,45.055523,182
7.654168,45.054928,1366
7.656542,45.055649,269
7.656312,45.055321,262
7.655774,45.056438,8323
7.65392,45.055447,301
7.655392,45.055614,908
7.655632,45.056049,878
7.656187,45.05822,1368
7.656352,45.058537,511
7.654278,45.057312,242
7.6553,45.057781,19669
7.656813,45.057495,1077
7.655571,45.057274,789
7.656891,45.057327,1261
